collection,reference,best_sell_price,best_sell_country,min_price,min_price_country,profit
LUMINOR,PAM00233,15600.0,USA,10012.508,Japan,5587.492
LUMINOR,PAM00317,27200.0,USA,17393.992,Japan,9806.008000000002
LUMINOR,PAM00335,19016.94,UK,14324.464,Japan,4692.475999999999
LUMINOR,PAM00372,7235.316,Japan,7235.316,Japan,0.0
LUMINOR,PAM00422,12800.0,USA,8112.324,Japan,4687.676
LUMINOR,PAM00423,12900.0,USA,8185.407999999999,Japan,4714.592000000001
LUMINOR,PAM00511,17393.992,Japan,17393.992,Japan,0.0
LUMINOR,PAM00524,14200.0,USA,8989.332,Japan,5210.668
LUMINOR,PAM00525,21779.032,Japan,21779.032,Japan,0.0
LUMINOR,PAM00526,22000.0,USA,14032.128,Japan,7967.871999999999
LUMINOR,PAM00533,17300.0,USA,10962.6,Japan,6337.4
LUMINOR,PAM00557,7600.736,Japan,7600.736,Japan,0.0
LUMINOR,PAM00560,8100.0,USA,5115.88,Japan,2984.12
LUMINOR,PAM00561,8100.0,USA,5115.88,Japan,2984.12
LUMINOR,PAM00562,8600.0,USA,5408.215999999999,Japan,3191.7840000000006
LUMINOR,PAM00563,8800.0,USA,5554.384,Japan,3245.616
LUMINOR,PAM00564,5919.804,Japan,5919.804,Japan,0.0
LUMINOR,PAM00576,35800.0,USA,22729.124,Japan,13070.876
LUMINOR,PAM00580,11839.608,Japan,11839.608,Japan,0.0
LUMINOR,PAM00590,5554.384,Japan,5554.384,Japan,0.0
LUMINOR,PAM00652,21800.0,USA,13885.96,Japan,7914.040000000001
LUMINOR,PAM00653,15600.0,USA,10012.508,Japan,5587.492
LUMINOR,PAM00654,15600.0,USA,10012.508,Japan,5587.492
LUMINOR,PAM00656,18271.0,Japan,18271.0,Japan,0.0
LUMINOR,PAM00661,15500.0,USA,9866.34,Japan,5633.66
LUMINOR,PAM00670,24306.42,UK,18271.0,Japan,6035.419999999998
LUMINOR,PAM00715,85900.0,USA,54593.748,Japan,31306.252
LUMINOR,PAM00722,11100.0,USA,7016.063999999999,Japan,4083.9360000000006
LUMINOR,PAM00723,7162.232,Japan,7162.232,Japan,0.0
LUMINOR,PAM00742,59700.0,USA,38003.68,Japan,21696.32
LUMINOR,PAM00764,16800.0,USA,10670.264,Japan,6129.736000000001
LUMINOR,PAM00768,189000.0,USA,119784.676,Japan,69215.324
LUMINOR,PAM00773,6400.0,USA,4092.704,Japan,2307.296
LUMINOR,PAM00774,6400.0,USA,4092.704,Japan,2307.296
LUMINOR,PAM00775,6400.0,USA,4092.704,Japan,2307.296
LUMINOR,PAM00776,7100.0,USA,4458.124,Japan,2641.876
LUMINOR,PAM00777,7100.0,USA,4458.124,Japan,2641.876
LUMINOR,PAM00778,7100.0,USA,4458.124,Japan,2641.876
LUMINOR,PAM00779,10300.0,USA,6577.56,Japan,3722.4399999999996
LUMINOR,PAM00788,20200.0,USA,12716.616,Japan,7483.384
LUMINOR,PAM00795,9400.0,USA,5846.719999999999,Japan,3553.2800000000007
LUMINOR,PAM00796,9000.0,USA,5700.552,Japan,3299.4480000000003
LUMINOR,PAM00797,10100.0,USA,6358.308,Japan,3741.692
LUMINOR,PAM00863,23887.8,France,23887.8,France,0.0
LUMINOR,PAM00914,6800.76,UK,5115.88,Japan,1684.88
LUMINOR,PAM00915,8800.0,USA,5554.384,Japan,3245.616
LUMINOR,PAM00977,11100.0,USA,7016.063999999999,Japan,4083.9360000000006
LUMINOR,PAM00978,7162.232,Japan,7162.232,Japan,0.0
LUMINOR,PAM00986,19200.0,USA,12131.944,Japan,7068.0560000000005
LUMINOR,PAM01020,35800.0,USA,22729.124,Japan,13070.876
LUMINOR,PAM01025,10300.0,USA,8815.800000000001,UK,1484.199999999999
LUMINOR,PAM01028,11100.0,USA,7016.063999999999,Japan,4083.9360000000006
LUMINOR,PAM01033,11900.0,USA,7454.567999999999,Japan,4445.432000000001
LUMINOR,PAM01036,14200.0,USA,8989.332,Japan,5210.668
LUMINOR,PAM01037,22700.0,USA,14543.716,Japan,8156.284
LUMINOR,PAM01038,30600.0,USA,19440.344,Japan,11159.655999999999
LUMINOR,PAM01048,8600.0,USA,5481.3,Japan,3118.7
LUMINOR,PAM01058,7162.232,Japan,7162.232,Japan,0.0
LUMINOR,PAM01060,217000.0,USA,137610.528,Japan,79389.47200000001
LUMINOR,PAM01075,12400.0,USA,7673.82,Japan,4726.18
LUMINOR,PAM01084,7100.0,USA,4458.124,Japan,2641.876
LUMINOR,PAM01085,7100.0,USA,4458.124,Japan,2641.876
LUMINOR,PAM01086,6400.0,USA,4092.704,Japan,2307.296
LUMINOR,PAM01088,9500.0,USA,6065.972,Japan,3434.0280000000002
LUMINOR,PAM01090,9800.0,USA,6285.224,Japan,3514.776
LUMINOR,PAM01096,14100.0,USA,8696.996,Japan,5403.004000000001
LUMINOR,PAM01104,8900.0,USA,5627.468,Japan,3272.532
LUMINOR,PAM01109,11600.0,USA,7308.4,Japan,4291.6
LUMINOR,PAM01110,12600.0,USA,8039.24,Japan,4560.76
LUMINOR,PAM01111,34500.0,USA,21486.696,Japan,13013.304
LUMINOR,PAM01112,30700.0,USA,19440.344,Japan,11259.655999999999
LUMINOR,PAM01114,36300.0,USA,22802.208,Japan,13497.792000000001
LUMINOR,PAM01115,36300.0,USA,22802.208,Japan,13497.792000000001
LUMINOR,PAM01116,50100.0,USA,31718.456,Japan,18381.544
LUMINOR,PAM01117,24900.0,USA,15713.06,Japan,9186.94
LUMINOR,PAM01118,20900.0,USA,13228.204,Japan,7671.796
LUMINOR,PAM01119,24900.0,USA,15713.06,Japan,9186.94
LUMINOR,PAM01122,24900.0,USA,15713.06,Japan,9186.94
LUMINOR,PAM01135,28500.0,USA,18271.0,Japan,10229.0
LUMINOR,PAM01157,11100.0,USA,7016.063999999999,Japan,4083.9360000000006
LUMINOR,PAM01218,11600.0,USA,7308.4,Japan,4291.6
LUMINOR,PAM01270,9000.0,USA,5700.552,Japan,3299.4480000000003
LUMINOR,PAM01271,9000.0,USA,5700.552,Japan,3299.4480000000003
LUMINOR,PAM01272,9000.0,USA,5700.552,Japan,3299.4480000000003
LUMINOR,PAM01275,14836.052,Japan,14836.052,Japan,0.0
LUMINOR,PAM01278,35664.992,Japan,35664.992,Japan,0.0
LUMINOR,PAM01279,12900.0,USA,8185.407999999999,Japan,4714.592000000001
LUMINOR,PAM01298,20200.0,USA,12716.616,Japan,7483.384
LUMINOR,PAM01303,11900.0,USA,7454.567999999999,Japan,4445.432000000001
LUMINOR,PAM01312,10300.0,USA,6577.56,Japan,3722.4399999999996
LUMINOR,PAM01313,10300.0,USA,6577.56,Japan,3722.4399999999996
LUMINOR,PAM01314,10300.0,USA,6577.56,Japan,3722.4399999999996
LUMINOR,PAM01316,11300.0,USA,7162.232,Japan,4137.768
LUMINOR,PAM01321,12400.0,USA,7893.072,Japan,4506.928
LUMINOR,PAM01351,10500.0,USA,6614.102,Japan,3885.898
LUMINOR,PAM01356,11100.0,USA,7016.063999999999,Japan,4083.9360000000006
